numStations=3
Station 0:Brockport University
Station 1:Mees Bristol
Station 2:Webster HS
numEvents=5
Access Number: 0            Sta # 0 Nom         Lower           Upper       Sta # 1 Nom         Lower           Upper       Sta # 2 Nom         Lower           Upper       
2020-02-18T23:03:29.303     437.00916859     437.00916735    437.00916982   437.00927332     437.00927228    437.00927436   437.00919030     437.00918914    437.00919147
2020-02-18T23:04:29.303     437.00882695     437.00882466    437.00882924   437.00898150     437.00897952    437.00898347   437.00886792     437.00886575    437.00887007
2020-02-18T23:05:29.303     437.00819026     437.00818595    437.00819455   437.00842695     437.00842317    437.00843073   437.00826808     437.00826403    437.00827213
2020-02-18T23:06:29.303     437.00697569     437.00696739    437.00698396   437.00734554     437.00733805    437.00735301   437.00712695     437.00711916    437.00713472
2020-02-18T23:07:29.303     437.00466960     437.00465434    437.00468482   437.00520766     437.00519312    437.00522215   437.00495205     437.00493756    437.00496649
2020-02-18T23:08:29.303     437.00090150     437.00087999    437.00092301   437.00146215     437.00143991    437.00148436   437.00131166     437.00129044    437.00133285
2020-02-18T23:09:29.303     436.99673481     436.99671635    436.99675331   436.99702644     436.99700641    436.99704652   436.99709941     436.99708028    436.99711857
2020-02-18T23:10:29.303     436.99381484     436.99380403    436.99382569   436.99386565     436.99385408    436.99387727   436.99403309     436.99402161    436.99404460
2020-02-18T23:11:29.303     436.99222030     436.99221467    436.99222595   436.99218255     436.99217672    436.99218841   436.99233536     436.99232936    436.99234139
2020-02-18T23:12:29.303     436.99138980     436.99138684    436.99139277   436.99133300     436.99133001    436.99133599   436.99145090     436.99144775    436.99145406
2020-02-18T23:13:29.303     436.99094784     436.99094625    436.99094944   436.99089221     436.99089064    436.99089379   436.99098119     436.99097950    436.99098289
2020-02-18T23:14:29.303     436.99071017     436.99070932    436.99071102   436.99066005     436.99065924    436.99066088   436.99072832     436.99072741    436.99072922
2020-02-18T23:15:29.303     436.99058839     436.99058799    436.99058880   436.99054379     436.99054341    436.99054417   436.99059752     436.99059708    436.99059796
2020-02-18T23:16:29.303     436.99053806     436.99053794    436.99053818   436.99049796     436.99049786    436.99049806   436.99054138     436.99054124    436.99054153
2020-02-18T23:17:29.303     436.99053539     436.99053531    436.99053547   436.99049873     436.99049863    436.99049882   436.99053470     436.99053464    436.99053477
2020-02-18T23:18:29.303     436.99056690     436.99056668    436.99056713   436.99053277     436.99053253    436.99053301   436.99056325     436.99056303    436.99056346
Access Number: 3            Sta # 0 Nom         Lower           Upper       Sta # 1 Nom         Lower           Upper       Sta # 2 Nom         Lower           Upper       
2020-02-19T00:42:06.211     437.00847026     437.00846792    437.00847260   437.00861212     437.00861004    437.00861420   437.00849152     437.00848926    437.00849377
2020-02-19T00:43:06.211     437.00785963     437.00785572    437.00786353   437.00806490     437.00806138    437.00806841   437.00790400     437.00790025    437.00790775
2020-02-19T00:44:06.211     437.00683950     437.00683298    437.00684600   437.00713857     437.00713260    437.00714452   437.00692597     437.00691973    437.00693220
2020-02-19T00:45:06.211     437.00516013     437.00514961    437.00517062   437.00558062     437.00557073    437.00559049   437.00531811     437.00530804    437.00532817
2020-02-19T00:46:06.211     437.00260226     437.00258732    437.00261718   437.00311849     437.00310378    437.00313318   437.00285356     437.00283906    437.00286803
2020-02-19T00:47:06.211     436.99938516     436.99936871    436.99940162   436.99986273     436.99984566    436.99987980   436.99969354     436.99967716    436.99970992
2020-02-19T00:48:06.211     436.99634184     436.99632846    436.99635525   436.99664867     436.99663435    436.99666302   436.99661963     436.99660591    436.99663336
2020-02-19T00:49:06.211     436.99412218     436.99411333    436.99413104   436.99426572     436.99425623    436.99427523   436.99432332     436.99431409    436.99433258
2020-02-19T00:50:06.211     436.99272280     436.99271743    436.99272819   436.99277149     436.99276579    436.99277720   436.99285576     436.99285011    436.99286144
2020-02-19T00:51:06.211     436.99188168     436.99187847    436.99188490   436.99188524     436.99188188    436.99188861   436.99196823     436.99196484    436.99197164
2020-02-19T00:52:06.211     436.99137867     436.99137675    436.99138060   436.99136216     436.99136017    436.99136415   436.99143570     436.99143366    436.99143774
2020-02-19T00:53:06.211     436.99107891     436.99107778    436.99108005   436.99105365     436.99105249    436.99105482   436.99111701     436.99111580    436.99111822
2020-02-19T00:54:06.211     436.99090569     436.99090506    436.99090633   436.99087667     436.99087603    436.99087732   436.99093124     436.99093056    436.99093193
2020-02-19T00:55:06.211     436.99081530     436.99081501    436.99081559   436.99078467     436.99078438    436.99078497   436.99083217     436.99083184    436.99083250
